lad19cd,lad19nm,belong_strongagree_count,belong_strongagree_pct,belong_agree_count,belong_agree_pct
W06000001,Isle of Anglesey,130,42.1,98,31.7
W06000002,Gwynedd,172,50.7,105,31.0
W06000003,Conwy,191,48.1,120,30.2
W06000004,Denbighshire,146,41.4,135,38.2
W06000005,Flintshire,213,44.7,144,30.3
W06000006,Wrexham,142,35.3,135,33.6
W06000008,Ceredigion,143,41.4,122,35.4
W06000009,Pembrokeshire,163,37.4,179,41.1
W06000010,Carmarthenshire,263,42.6,189,30.6
W06000011,Swansea,276,34.9,267,33.8
W06000012,Neath Port Talbot,255,55.3,111,24.1
W06000013,Bridgend,227,52.2,103,23.7
W06000014,Vale of Glamorgan,193,41.4,152,32.6
W06000015,Cardiff,410,38.9,365,34.6
W06000016,Rhondda Cynon Taf,330,43.0,238,31.0
W06000018,Caerphilly,248,40.7,198,32.5
W06000019,Blaenau Gwent,173,42.7,116,28.6
W06000020,Torfaen,164,37.8,122,28.1
W06000021,Monmouthshire,249,48.0,162,31.2
W06000022,Newport,199,37.0,163,30.3
W06000023,Powys,660,47.4,425,30.5
W06000024,Merthyr Tydfil,156,49.4,85,26.9
